,0,1,2,3,4
207,language-agnostic,,,,
208,asp.net,svn,,,
209,php,python,,,
210,asp.net,,,,
211,macos,,,,
212,arrays,,,,
213,macos,,,,
214,c#,,,,
215,language-agnostic,,,,
216,sql-server,database,,,
217,language-agnostic,,,,
218,multithreading,language-agnostic,,,
219,c#,.net,,,
220,mysql,database,,,
221,unit-testing,,,,
222,asp.net,visual-studio,visual-studio-2008,debugging,
223,.net,,,,
224,c#,winforms,,,
225,html,,,,
226,c,,,,
227,asp.net,,,,
228,sql-server,windows,,,
229,language-agnostic,,,,
230,sql,sql-server,,,
231,sql-server,,,,
232,git,svn,language-agnostic,,
233,mysql,,,,
234,sql,sql-server,,,
235,language-agnostic,,,,
236,css,,,,
237,sql-server,,,,
238,linux,,,,
239,php,c++,linux,,
240,visual-studio,,,,
241,visual-studio,,,,
242,winforms,,,,
243,sql-server,,,,
244,c#,asp.net-mvc,database,,
245,c#,,,,
246,c#,.net,vb.net,,
247,windows,,,,
248,c#,winforms,,,
249,sql-server,,,,
250,sql,xml,,,
251,sql,,,,
252,c,,,,
253,html,,,,
254,c#,.net,,,
255,c#,.net,winforms,,
256,c,,,,
257,c#,.net,winforms,,
258,linux,,,,
259,php,mysql,,,
260,database,,,,
261,java,,,,
262,python,,,,
263,.net,,,,
264,java,string,,,
265,c#,,,,
266,algorithm,,,,
267,ruby,,,,
268,asp.net,,,,
269,c#,visual-studio,,,
270,perl,,,,
271,java,c++,windows,,
272,performance,oop,,,
273,oop,,,,
274,python,,,,
275,visual-studio,,,,
276,python,language-agnostic,,,
277,windows,visual-studio,,,
278,perl,arrays,,,
279,vb.net,,,,
280,.net,,,,
281,c++,visual-studio,unit-testing,,
282,c#,asp.net,.net,,
283,sql,,,,
284,c#,,,,
285,javascript,css,,,
286,c++,visual-studio,,,
287,c++,c,,,
288,c#,,,,
289,algorithm,performance,,,
290,algorithm,language-agnostic,,,
291,sql,,,,
292,ruby,,,,
293,c#,.net,,,
294,c#,,,,
295,javascript,css,,,
296,javascript,,,,
297,javascript,,,,
298,sql-server,,,,
299,javascript,debugging,,,
300,ruby-on-rails,windows,ruby,,
301,mysql,sql,,,
302,sql-server,macos,,,
303,sql-server,,,,
304,c#,,,,
305,ruby,,,,
306,vb.net,visual-studio,,,
307,sql,sql-server,,,
308,mysql,ruby-on-rails,ruby,,
309,sql,sql-server,,,
310,svn,,,,
311,php,,,,
312,.net,,,,
313,html,xml,,,
314,svn,,,,
315,sql,mysql,,,
316,javascript,c#,asp.net,,
317,c#,,,,
318,database,,,,
319,asp.net,,,,
320,.net,xml,,,
321,mysql,,,,
322,asp.net,windows,,,
323,language-agnostic,,,,
324,visual-studio,,,,
325,sql,sql-server,database,,
326,asp.net,,,,
327,mysql,sql,,,
328,visual-studio,,,,
329,javascript,,,,
330,java,,,,
331,sql-server,,,,
332,c#,windows,,,
333,c#,.net,,,
334,.net,vb.net,,,
335,sql-server,,,,
336,python,linux,macos,,
337,php,oop,,,
338,.net,visual-studio,,,
339,macos,,,,
340,.net,,,,
341,asp.net-mvc,,,,
342,c,,,,
343,sql-server,,,,
344,language-agnostic,,,,
345,svn,,,,
346,java,,,,
347,sql,sql-server,database,,
348,vb.net,svn,,,
349,java,,,,
350,.net,,,,
351,c#,.net,performance,,
352,algorithm,,,,
353,windows,,,,
354,svn,,,,
355,c#,asp.net,database,linq,
356,language-agnostic,,,,
357,c#,.net,,,
358,asp.net,,,,
359,c#,,,,
360,java,,,,
361,sql-server,,,,
362,.net,,,,
363,c++,oop,,,
364,c#,.net,,,
365,c#,asp.net,visual-studio,unit-testing,
366,php,,,,
367,mysql,,,,
368,javascript,debugging,,,
369,sql,sql-server,,,
370,ruby,,,,
371,php,visual-studio,,,
372,c#,,,,
373,.net,visual-studio,,,
374,.net,unit-testing,,,
375,language-agnostic,,,,
376,.net,,,,
377,sql,sql-server,database,,
378,language-agnostic,,,,
379,javascript,,,,
380,html,,,,
381,c#,performance,,,
382,c#,.net,,,
383,c#,performance,,,
384,sql,sql-server,,,
385,asp.net,,,,
386,c#,,,,
387,java,,,,
388,windows,,,,
389,c#,.net,,,
390,windows,,,,
391,ruby,,,,
392,regex,,,,
393,asp.net,,,,
394,sql-server,database,,,
395,sql-server,linq,performance,,
396,c#,.net,,,
397,c,string,,,
398,c#,,,,
399,c#,,,,
400,xml,,,,
401,regex,,,,
402,html,,,,
403,javascript,,,,
404,sql,database,,,
405,asp.net,,,,
406,c#,.net,winforms,,
407,java,,,,
408,javascript,jquery,html,css,
409,c#,.net,,,
410,php,python,ruby-on-rails,ruby,
411,php,svn,,,
412,regex,,,,
413,html,css,,,
414,sql,sql-server,,,
415,.net,performance,,,
416,perl,,,,
417,php,sql-server,database,,
418,asp.net,,,,
419,asp.net,,,,
420,linux,,,,
421,ruby-on-rails,ruby,,,
422,python,,,,
423,javascript,html,asp.net,css,
424,svn,,,,
425,python,c,,,
426,sql,,,,
427,sql-server,,,,
428,javascript,c#,asp.net,,
429,c#,linq,,,
430,java,,,,
431,javascript,,,,
432,html,,,,
433,vb.net,,,,
434,.net,database,,,
435,c#,language-agnostic,,,
436,c#,winforms,,,
437,python,,,,
438,css,,,,
439,java,,,,
440,python,,,,
441,python,,,,
442,html,xml,,,
443,php,oop,,,
444,git,,,,
445,asp.net,javascript,,,
446,windows,,,,
447,wpf,,,,
448,java,,,,
449,sql-server,,,,
450,php,,,,
451,asp.net-mvc,,,,
452,html,,,,
453,macos,,,,
454,c#,visual-studio,,,
455,.net,,,,
456,c#,asp.net,,,
457,windows,,,,
458,c++,c,,,
459,.net,windows,,,
460,vb.net,,,,
461,c#,,,,
462,vb.net,,,,
463,sql,database,,,
464,sql-server,,,,
465,c#,,,,
466,mysql,database,,,
467,php,mysql,,,
468,java,,,,
469,c#,.net,,,
470,php,svn,,,
471,c++,,,,
472,c#,,,,
473,sql-server,,,,
474,python,,,,
475,javascript,,,,
476,visual-studio,,,,
477,svn,,,,
478,database,,,,
479,python,,,,
480,.net,winforms,,,
481,svn,git,,,
482,svn,macos,,,
483,asp.net,vb.net,,,
484,database,,,,
485,.net,sql-server,,,
486,language-agnostic,,,,
487,svn,,,,
488,linux,,,,
489,windows,visual-studio,,,
490,svn,,,,
491,.net,html,regex,,
492,c#,.net,winforms,multithreading,
493,.net,,,,
494,css,,,,
495,language-agnostic,,,,
496,java,eclipse,,,
497,.net,visual-studio,,,
498,c#,.net,,,
499,c#,.net,,,
500,css,ruby-on-rails,,,
501,sql,mysql,,,
502,sql,,,,
503,mysql,svn,,,
504,javascript,,,,
505,java,linux,,,
506,c#,.net,,,
507,c#,,,,
508,javascript,,,,
509,.net,,,,
510,javascript,html,,,
511,unit-testing,language-agnostic,,,
512,javascript,,,,
513,c,,,,
514,asp.net,,,,
515,algorithm,,,,
516,c#,.net,,,
517,iphone,objective-c,cocoa,,
518,php,,,,
519,windows,,,,
520,java,,,,
521,language-agnostic,,,,
522,c#,visual-studio,,,
523,php,,,,
524,php,,,,
525,java,,,,
526,java,,,,
527,javascript,,,,
528,.net,visual-studio,,,
529,c#,asp.net,,,
530,oop,,,,
531,java,sql-server,,,
532,c#,vb.net,performance,,
533,java,eclipse,,,
534,performance,multithreading,,,
535,c#,multithreading,,,
536,.net,performance,,,
537,sql,sql-server,,,
538,c++,multithreading,,,
539,visual-studio,,,,
540,performance,multithreading,,,
541,c#,visual-studio,,,
542,c#,multithreading,,,
543,javascript,php,,,
544,javascript,jquery,,,
545,linux,,,,
546,c#,.net,string,,
547,c,,,,
548,css,,,,
549,c#,multithreading,,,
550,javascript,,,,
551,svn,,,,
552,.net,,,,
553,svn,,,,
554,c++,c,,,
555,sql,mysql,database,,
556,vb.net,,,,
557,.net,,,,
558,sql-server,database,,,
559,c#,.net,,,
560,algorithm,language-agnostic,,,
561,unit-testing,,,,
562,linux,,,,
563,java,,,,
564,xml,,,,
565,unit-testing,,,,
566,php,,,,
567,c#,.net,vb.net,visual-studio,
568,c,linux,,,
569,unit-testing,,,,
570,wpf,,,,
571,javascript,html,css,,
572,c++,,,,
573,performance,,,,
574,c#,linq,,,
575,sql,sql-server,database,,
576,c++,,,,
577,sql-server,,,,
578,java,,,,
579,javascript,,,,
580,sql-server,,,,
581,c#,.net,wpf,,
582,javascript,,,,
583,java,,,,
584,c,,,,
585,vb.net,,,,
586,perl,arrays,,,
587,java,,,,
588,database,language-agnostic,,,
589,c++,windows,,,
590,java,xml,string,,
591,algorithm,,,,
592,sql-server,,,,
593,css,,,,
594,java,windows,,,
595,windows,,,,
596,asp.net,javascript,,,
597,java,eclipse,,,
598,.net,wpf,,,
599,xml,,,,
600,php,,,,
601,ruby-on-rails,oop,,,
602,c++,,,,
603,perl,oop,,,
604,svn,,,,
605,mysql,regex,string,,
606,html,css,,,
607,css,,,,
608,sql-server,,,,
609,c,,,,
610,c#,.net,,,
611,c#,,,,
612,windows,,,,
613,c#,,,,
614,linq,,,,
615,database,,,,
616,.net,linq,performance,,
617,mysql,,,,
618,visual-studio,,,,
619,.net,,,,
620,.net,,,,
621,sql,,,,
622,asp.net-mvc,,,,
623,python,mysql,,,
624,mysql,,,,
625,sql,,,,
626,wpf,,,,
627,java,,,,
628,c#,.net,sql-server,,
629,c,,,,
630,php,perl,,,
631,svn,,,,
632,java,,,,
633,c#,.net,,,
634,debugging,,,,
635,mysql,,,,
636,javascript,visual-studio,debugging,,
637,sql-server,,,,
638,windows,,,,
639,c++,windows,debugging,,
640,c#,,,,
641,c++,,,,
642,wpf,,,,
643,language-agnostic,,,,
644,asp.net-mvc,,,,
645,svn,,,,
646,c#,multithreading,,,
647,visual-studio,,,,
648,c#,winforms,,,
649,java,,,,
650,.net,windows,,,
651,java,xml,,,
652,c#,.net,vb.net,winforms,
653,c#,,,,
654,.net,,,,
655,php,,,,
656,c#,,,,
657,python,xml,,,
658,database,,,,
659,.net,,,,
660,php,,,,
661,delphi,,,,
662,.net,,,,
663,svn,,,,
664,c++,python,linux,,
665,iphone,,,,
666,c#,.net,,,
667,mysql,,,,
668,c#,,,,
669,php,,,,
670,c#,database,,,
671,php,database,,,
672,c#,c++,windows,,
673,c#,,,,
674,c#,,,,
675,python,,,,
676,sql-server,database,,,
677,c#,.net,,,
678,java,,,,
679,objective-c,macos,,,
680,c#,.net,sql,,
681,sql-server,,,,
682,perl,,,,
683,asp.net,html,,,
684,c#,,,,
685,java,,,,
686,.net,,,,
687,javascript,,,,
688,mysql,,,,
689,c#,,,,
690,vb.net,,,,
691,c#,.net,,,
692,windows,multithreading,,,
693,.net,debugging,,,
694,linux,macos,,,
695,javascript,,,,
696,javascript,,,,
697,c#,regex,perl,,
698,c#,.net,,,
699,c#,.net,winforms,visual-studio-2008,
700,c++,oop,,,
701,.net,asp.net,,,
702,asp.net,javascript,,,
703,windows,,,,
704,java,,,,
705,c#,.net,,,
706,asp.net,vb.net,,,
707,c,,,,
708,oop,,,,
709,javascript,asp.net,,,
710,html,,,,
711,php,,,,
712,.net,,,,
713,asp.net,,,,
714,c#,visual-studio,,,
715,asp.net,performance,,,
716,c#,.net,,,
717,c++,c,,,
718,wpf,,,,
719,visual-studio,,,,
720,sql,mysql,,,
721,wpf,,,,
722,c#,multithreading,,,
723,c++,windows,,,
724,c#,arrays,,,
725,sql,,,,
726,c#,.net,,,
727,language-agnostic,,,,
728,sql-server,database,,,
729,c#,asp.net,,,
730,c#,,,,
731,.net,windows,linux,,
732,multithreading,,,,
733,eclipse,,,,
734,c++,,,,
735,sql,sql-server,,,
736,javascript,,,,
737,java,,,,
738,c++,windows,,,
739,c#,winforms,multithreading,,
740,windows,macos,,,
741,python,,,,
742,regex,,,,
743,.net,sql,linq,,
744,php,unit-testing,,,
745,string,language-agnostic,,,
746,asp.net,,,,
747,c#,.net,multithreading,,
748,performance,,,,
749,asp.net-mvc,,,,
750,svn,,,,
751,objective-c,cocoa,,,
752,ruby,string,,,
753,c,performance,,,
754,winforms,multithreading,,,
755,javascript,html,css,,
756,c#,.net,,,
757,c,,,,
758,c#,.net,winforms,,
759,c#,,,,
760,javascript,,,,
761,unit-testing,performance,,,
762,php,windows,,,
763,.net,linq,,,
764,c#,,,,
765,php,,,,
766,windows,git,,,
767,java,xml,,,
768,database,,,,
769,sql-server,,,,
770,regex,,,,
771,mysql,sql-server,,,
772,c#,.net,,,
773,c#,asp.net,,,
774,c#,asp.net,asp.net-mvc,,
775,c,macos,,,
776,c#,,,,
777,c,linux,,,
778,sql-server,,,,
779,unit-testing,,,,
780,asp.net,,,,
781,asp.net,visual-studio,,,
782,ruby-on-rails,ruby,,,
783,c#,winforms,,,
784,sql,sql-server,,,
785,.net,database,,,
786,sql-server,database,,,
787,objective-c,cocoa-touch,,,
788,c#,.net,linq,,
789,.net,,,,
790,html,css,,,
791,c++,,,,
792,sql-server,,,,
793,sql-server,,,,
794,c#,c++,winforms,,
795,c#,.net,winforms,,
796,sql-server,,,,
797,.net,asp.net,svn,,
798,c#,.net,unit-testing,,
799,java,.net,,,
800,c++,,,,
801,php,,,,
802,visual-studio,,,,
803,sql,,,,
804,sql,,,,
805,database,,,,
806,c++,python,unit-testing,,
807,perl,,,,
808,java,,,,
809,iphone,,,,
810,c++,,,,
811,ruby,,,,
812,c#,linq,,,
813,.net,,,,
814,c#,asp.net,,,
815,c#,.net,wpf,,
816,objective-c,cocoa,,,
817,xml,,,,
818,winforms,,,,
819,.net,winforms,,,
820,c,,,,
821,asp.net-mvc,,,,
822,java,,,,
823,c#,xml,,,
824,windows,performance,,,
825,algorithm,,,,
826,c++,,,,
827,c#,wpf,,,
828,sql-server,,,,
829,.net,visual-studio,,,
830,c++,string,,,
831,asp.net,performance,,,
832,c#,wpf,,,
833,php,,,,
834,java,.net,,,
835,c++,performance,,,
836,macos,,,,
837,c#,asp.net,,,
838,language-agnostic,,,,
839,sql,database,performance,,
840,sql-server,,,,
841,c#,vb.net,,,
842,c++,string,,,
843,mysql,,,,
844,visual-studio,,,,
845,.net,,,,
846,.net,,,,
847,c#,.net,,,
848,c#,.net,,,
849,.net,,,,
850,.net,performance,,,
851,windows,,,,
852,c#,.net,,,
853,c#,asp.net,,,
854,html,css,,,
855,xml,,,,
856,language-agnostic,,,,
857,c++,oop,,,
858,svn,,,,
859,.net,database,,,
860,.net,,,,
861,asp.net-mvc,,,,
862,php,mysql,,,
863,asp.net,asp.net-mvc,,,
864,java,,,,
865,asp.net,,,,
866,html,,,,
867,windows,,,,
868,c#,.net,unit-testing,,
869,c#,,,,
870,.net,,,,
871,java,,,,
872,windows,multithreading,,,
873,perl,,,,
874,c#,.net,,,
875,database,,,,
876,.net,,,,
877,java,xml,,,
878,multithreading,unit-testing,,,
879,.net,svn,,,
880,asp.net,performance,,,
881,c#,,,,
882,c++,macos,,,
883,c++,c,,,
884,php,windows,,,
885,.net,,,,
886,visual-studio-2008,,,,
887,sql,unit-testing,,,
888,asp.net,,,,
889,asp.net,,,,
890,visual-studio-2008,,,,
891,asp.net,multithreading,,,
892,c,,,,
893,xml,,,,
894,xml,,,,
895,oop,,,,
896,sql-server,,,,
897,ruby,,,,
898,unit-testing,,,,
899,php,performance,,,
900,sql-server,,,,
901,python,xml,,,
902,python,,,,
903,.net,xml,,,
904,algorithm,,,,
905,sql,mysql,,,
906,c++,,,,
907,sql,sql-server,,,
908,.net,,,,
909,perl,,,,
910,php,mysql,,,
911,php,,,,
912,language-agnostic,,,,
913,c#,asp.net,,,
914,asp.net,,,,
915,c#,.net,,,
916,php,,,,
917,html,,,,
918,javascript,jquery,html,,
919,c#,,,,
920,sql,database,,,
921,java,php,,,
922,mysql,database,,,
923,php,,,,
924,sql-server,,,,
925,java,,,,
926,php,,,,
927,sql-server,,,,
928,.net,,,,
929,php,,,,
930,javascript,,,,
931,svn,,,,
932,.net,,,,
933,language-agnostic,,,,
934,c#,.net,vb.net,,
935,delphi,,,,
936,c#,.net,,,
937,asp.net,,,,
938,php,arrays,,,
939,c++,c,,,
940,c#,.net,multithreading,,
941,ruby-on-rails,ruby,linux,,
942,c#,,,,
943,asp.net,,,,
944,java,,,,
945,ruby-on-rails,ruby,,,
946,php,performance,,,
947,asp.net,,,,
948,database,,,,
949,c#,.net,winforms,,
950,javascript,jquery,html,,
951,.net,python,arrays,,
952,.net,,,,
953,python,string,,,
954,regex,,,,
955,delphi,,,,
956,c++,c,arrays,,
957,sql-server,database,,,
958,windows,,,,
959,sql,sql-server,,,
960,php,mysql,,,
961,windows,,,,
962,performance,language-agnostic,,,
963,html,,,,
964,c#,,,,
965,c#,,,,
966,php,performance,,,
967,c#,php,,,
968,.net,,,,
969,.net,asp.net,asp.net-mvc,,
970,objective-c,cocoa,,,
971,svn,,,,
972,javascript,html,,,
973,c#,,,,
974,python,regex,,,
975,c++,windows,,,
976,svn,,,,
977,python,,,,
978,java,,,,
979,cocoa,macos,,,
980,visual-studio,unit-testing,,,
981,python,macos,,,
982,c#,,,,
983,c#,,,,
984,c#,.net,winforms,,
985,sql-server,,,,
986,linux,,,,
987,unit-testing,,,,
988,.net,wpf,,,
989,unit-testing,,,,
990,perl,,,,
991,c++,,,,
992,svn,,,,
993,windows,,,,
994,c++,c,,,
995,.net,sql-server,,,
996,visual-studio,,,,
997,.net,windows,,,
998,python,regex,,,
999,c,,,,
1000,svn,,,,
1001,c#,linq,,,
1002,python,regex,,,
1003,java,svn,,,
1004,visual-studio,,,,
1005,python,macos,cocoa,,
1006,.net,performance,,,
1007,delphi,,,,
1008,c#,,,,
1009,c#,,,,
1010,c++,,,,
1011,xml,,,,
1012,linq,,,,
1013,html,database,,,
1014,windows,svn,,,
1015,svn,,,,
1016,asp.net-mvc,,,,
1017,.net,,,,
1018,java,,,,
1019,winforms,,,,
1020,asp.net,,,,
1021,sql-server,performance,,,
1022,c#,.net,,,
1023,c#,asp.net,,,
1024,.net,,,,
1025,c#,vb.net,,,
1026,java,,,,
1027,ruby-on-rails,ruby,,,
1028,language-agnostic,,,,
1029,sql-server,database,,,
1030,mysql,performance,,,
1031,php,algorithm,,,
1032,linux,,,,
1033,c#,.net,sql,database,
1034,c#,.net,winforms,,
1035,c#,,,,
1036,javascript,html,,,
1037,.net,,,,
1038,c#,wpf,,,
1039,visual-studio,,,,
1040,.net,,,,
1041,visual-studio,,,,
1042,.net,visual-studio,,,
1043,string,,,,
1044,c#,visual-studio,,,
1045,.net,,,,
1046,visual-studio,winforms,,,
1047,javascript,,,,
1048,c#,sql,sql-server,,
1049,linux,,,,
1050,svn,,,,
1051,c#,.net,vb.net,,
1052,linux,svn,,,
1053,.net,asp.net,,,
1054,c++,c,,,
1055,.net,,,,
1056,html,,,,
1057,c++,arrays,,,
1058,objective-c,cocoa,,,
1059,javascript,,,,
1060,java,,,,
1061,sql-server,,,,
1062,html,css,,,
1063,php,,,,
1064,javascript,,,,
1065,linq,,,,
1066,oop,,,,
1067,windows,,,,
1068,asp.net-mvc,,,,
1069,java,,,,
1070,c#,,,,
1071,java,,,,
1072,.net,,,,
1073,svn,,,,
1074,c++,visual-studio,,,
1075,java,performance,,,
1076,sql-server,,,,
1077,svn,,,,
1078,cocoa,macos,,,
1079,svn,,,,
1080,java,oop,,,
1081,.net,,,,
1082,java,,,,
1083,windows,linux,,,
1084,java,xml,,,
1085,c#,,,,
1086,c#,,,,
1087,c#,asp.net,,,
1088,visual-studio,,,,
1089,python,xml,,,
1090,linux,,,,
1091,c#,c++,debugging,,
1092,c#,.net,,,
1093,c,performance,algorithm,,
1094,visual-studio,,,,
1095,java,,,,
1096,css,,,,
1097,c#,,,,
1098,sql-server,,,,
1099,java,mysql,database,,
1100,python,,,,
1101,asp.net,,,,
1102,ruby-on-rails,ruby,,,
1103,python,,,,
1104,visual-studio,,,,
1105,visual-studio,visual-studio-2008,,,
1106,.net,wpf,,,
1107,c#,string,,,
1108,c#,winforms,,,
1109,c#,visual-studio,winforms,,
1110,java,,,,
1111,svn,,,,
1112,c++,visual-studio,,,
1113,.net,,,,
1114,html,css,,,
1115,svn,debugging,,,
1116,c#,string,,,
1117,database,,,,
1118,linq,,,,
1119,asp.net-mvc,,,,
1120,c#,,,,
1121,visual-studio,debugging,,,
1122,sql-server,,,,
1123,html,,,,
1124,string,,,,
1125,c#,string,,,
1126,database,vb.net,,,
1127,sql,,,,
1128,java,.net,,,
1129,javascript,jquery,sql,html,
1130,java,,,,
1131,sql-server,database,,,
1132,language-agnostic,,,,
1133,.net,,,,
1134,c#,.net,visual-studio,,
1135,java,oop,,,
1136,mysql,sql,database,,
1137,c#,sql-server,,,
1138,c,windows,,,
1139,sql-server,,,,
1140,.net,,,,
1141,c#,java,,,
1142,asp.net,,,,
1143,c#,asp.net-mvc,,,
1144,css,,,,
1145,sql-server,,,,
1146,c#,.net,php,asp.net,
1147,sql,,,,
1148,svn,,,,
1149,c#,.net,,,
1150,unit-testing,,,,
1151,python,,,,
1152,performance,algorithm,,,
1153,visual-studio-2008,,,,
1154,delphi,,,,
1155,css,,,,
1156,java,,,,
1157,performance,,,,
1158,asp.net,,,,
1159,ruby,,,,
1160,sql-server,,,,
1161,ruby,,,,
1162,c#,,,,
1163,.net,,,,
1164,linux,,,,
1165,c#,,,,
1166,sql-server,,,,
1167,xml,,,,
1168,c++,,,,
1169,c#,.net,,,
1170,c,,,,
1171,c#,.net,,,
1172,php,,,,
1173,.net,,,,
1174,c++,,,,
1175,sql,sql-server,,,
1176,perl,,,,
1177,c++,linux,eclipse,,
1178,python,,,,
1179,html,,,,
1180,html,css,,,
1181,language-agnostic,,,,
1182,c++,algorithm,,,
1183,linux,,,,
1184,java,windows,macos,,
1185,php,,,,
1186,c#,.net,asp.net,,
1187,algorithm,,,,
1188,c++,oop,,,
1189,javascript,,,,
1190,c++,,,,
1191,windows,,,,
1192,c#,.net,asp.net,,
1193,c#,.net,,,
1194,c#,.net,,,
1195,algorithm,,,,
1196,php,,,,
1197,c#,.net,c++,windows,
1198,sql,sql-server,,,
1199,java,windows,,,
1200,.net,sql-server,,,
1201,php,svn,,,
1202,mysql,database,,,
1203,performance,,,,
1204,c#,asp.net,xml,,
1205,c#,.net,,,
1206,linux,,,,
1207,.net,c++,,,
1208,.net,asp.net,,,
1209,.net,,,,
1210,javascript,,,,
1211,database,performance,,,
1212,mysql,,,,
1213,c#,,,,
1214,python,,,,
1215,wpf,,,,
1216,.net,winforms,,,
1217,c#,java,,,
1218,linux,,,,
1219,c,,,,
1220,visual-studio,svn,,,
1221,java,,,,
1222,.net,,,,
1223,sql,sql-server,,,
1224,javascript,css,,,
1225,performance,,,,
1226,javascript,,,,
1227,c#,,,,
1228,php,xml,,,
1229,asp.net,sql-server,,,
1230,windows,,,,
1231,.net,windows,,,
1232,windows,unit-testing,,,
1233,linux,,,,
1234,language-agnostic,,,,
1235,ruby-on-rails,,,,
1236,delphi,unit-testing,,,
1237,windows,,,,
1238,language-agnostic,,,,
1239,c#,,,,
1240,python,,,,
1241,c#,.net,,,
1242,c#,,,,
1243,php,mysql,,,
1244,.net,,,,
1245,.net,,,,
1246,c#,.net,windows,,
1247,java,string,,,
1248,c#,.net,sql,,
1249,java,,,,
1250,unit-testing,,,,
